RK,NAME,TEAM,POS,GMS,YDS,TD,INT,YDS,TD,REC,YDS,TD,SCK,INT,FF,FR,FPTS/G,FPTS
79,Los Angeles Rams,LAR,0,16,0,0,0,0,0,0,0,0,53,14,11,8,9.3,149
80,Taysom Hill,NO,QB,16,928,4,2,457,8,8,98,1,0,0,0,0,9.3,148.62
81,Mike Davis,CAR,RB,15,0,0,0,642,6,59,373,2,0,0,0,0,9.8,147.5
82,Bobby Wagner,SEA,0,16,0,0,0,0,0,0,0,0,3,0,0,1,9.2,146.9
83,David Johnson,HOU,RB,12,0,0,0,691,6,33,314,2,0,0,0,0,12.2,146.5
84,DJ Moore,CAR,WR,15,0,0,0,22,0,66,1193,4,0,0,1,0,9.7,145.5
85,Keenan Allen,LAC,WR,14,0,0,0,-1,0,100,992,8,0,0,0,0,10.4,145.1
86,Lavonte David,TB,0,16,0,0,0,0,0,0,0,0,1.5,1,3,2,9.1,145
87,Amari Cooper,DAL,WR,16,0,0,0,14,0,92,1114,5,0,0,0,0,9,144.8
88,D'Andre Swift,DET,RB,13,0,0,0,521,8,46,357,2,0,0,0,0,11.1,143.8
89,Eric Wilson,MIN,0,16,0,0,0,0,0,0,0,0,3,3,1,2,9,143.45
90,Haason Reddick,ARI,0,16,0,0,0,0,0,0,0,0,12.5,0,5,0,9,143.35
91,Baltimore Ravens,BAL,0,16,0,0,0,0,0,0,0,0,39,10,25,13,8.9,143
92,Miles Sanders,PHI,RB,12,0,0,0,867,6,28,197,0,0,0,0,0,11.9,142.4
93,Greg Zuerlein,DAL,0,16,0,0,0,0,0,0,0,0,0,0,0,0,8.8,141
94,Rodrigo Blankenship,IND,0,16,0,0,0,0,0,0,0,0,0,0,0,0,8.8,141
95,Jordan Poyer,BUF,0,16,0,0,0,0,0,0,0,0,2,2,2,0,8.8,140.4
96,Clyde Edwards-Helaire,KC,RB,13,0,0,0,803,4,36,297,1,0,0,0,0,10.8,140
97,Jerome Baker,MIA,0,16,0,0,0,0,0,0,0,0,7,0,2,0,8.7,139.95
98,Fred Warner,SF,0,16,0,0,0,0,0,0,0,0,1,2,1,2,8.7,139.6
99,Miami Dolphins,MIA,0,16,0,0,0,0,0,0,0,0,41,18,17,10,8.7,139
100,Foyesade Oluokun,ATL,0,15,0,0,0,0,0,0,0,0,3,2,2,1,9.3,138.9
101,Jeremy Chinn,CAR,0,15,0,0,0,29,0,0,0,0,1,1,2,2,9.2,138.5
102,Todd Gurley II,ATL,RB,15,0,0,0,678,9,25,164,0,0,0,0,0,9.2,138.2
103,Ryan Succop,TB,0,16,0,0,0,0,0,0,0,0,0,0,0,0,8.6,138
104,CeeDee Lamb,DAL,WR,16,0,0,0,82,1,74,935,5,0,0,0,0,8.6,137.7
105,Nelson Agholor,LV,WR,16,0,0,0,0,0,48,896,8,0,0,0,0,8.6,137.6
106,JuJu Smith-Schuster,PIT,WR,16,0,0,0,0,0,97,831,9,0,0,0,1,8.6,137.1
107,Neville Hewitt,NYJ,0,16,0,0,0,0,0,0,0,0,2,0,0,1,8.6,136.9
108,Budda Baker,ARI,0,15,0,0,0,0,0,0,0,0,2,2,1,0,9.1,136.8
109,Terry McLaurin,WAS,WR,15,0,0,0,30,0,87,1118,4,0,0,0,0,9.1,136.8
110,Patrick Queen,BAL,0,16,0,0,0,0,0,0,0,0,3,1,2,2,8.5,136.7
111,Justin Tucker,BAL,0,16,0,0,0,0,0,0,0,0,0,0,0,0,8.5,136
112,William Fuller V SUS,HOU,WR,11,0,0,0,0,0,53,879,8,0,0,0,0,12.4,135.9
113,Andy Dalton,DAL,QB,11,2169,14,8,114,0,1,-3,0,0,0,0,0,12.4,135.86
114,Demario Davis,NO,0,16,0,0,0,0,0,0,0,0,4,0,0,0,8.5,135.6
115,Tua Tagovailoa,MIA,QB,10,1814,11,5,109,3,0,0,0,0,0,0,0,13.5,135.46
116,Aaron Donald,LAR,0,16,0,0,0,0,0,0,0,0,13.5,0,4,1,8.5,135.4
117,Curtis Samuel,CAR,WR,15,0,0,0,200,2,77,851,3,0,0,0,0,9,135.1
118,Dak Prescott,DAL,QB,5,1856,9,4,93,3,1,11,1,0,0,0,0,26.9,134.64
119,Za'Darius Smith,GB,0,16,0,0,0,0,0,0,0,0,12.5,0,3,2,8.4,134.15
120,Sam Darnold,NYJ,QB,12,2208,9,11,217,2,0,0,0,0,0,0,0,11.2,134.02
121,Diontae Johnson,PIT,WR,15,0,0,0,15,0,88,923,7,0,0,0,0,8.9,133.8
122,Harrison Butker,KC,0,16,0,0,0,0,0,0,0,0,0,0,0,0,8.2,131
123,Alex Singleton,PHI,0,16,0,0,0,0,0,0,0,0,2,1,0,2,8.2,130.8
124,Nyheim Hines,IND,RB,16,0,0,0,380,3,63,482,4,0,0,0,0,8.1,130.2
125,Cairo Santos,CHI,0,16,0,0,0,0,0,0,0,0,0,0,0,0,8.1,130
126,Jamal Adams,SEA,0,12,0,0,0,0,0,0,0,0,9.5,0,1,0,10.8,129.95
127,Marlon Humphrey,BAL,0,15,0,0,0,0,0,0,0,0,2.5,1,8,0,8.7,129.95
128,James Conner,PIT,RB,13,0,0,0,721,6,35,215,0,0,0,0,0,10,129.6
129,Myles Garrett,CLE,0,14,0,0,0,0,0,0,0,0,12,0,4,2,9.2,129.3
130,Jeff Wilson Jr. IR,SF,RB,11,0,0,0,600,7,13,133,3,0,0,0,0,11.8,129.3
131,Robby Anderson,CAR,WR,16,0,0,0,15,0,95,1096,3,0,0,0,0,8.1,129.1
132,Brandon McManus,DEN,0,15,0,0,0,0,0,0,0,0,0,0,0,0,8.5,128
133,Wil Lutz,NO,0,16,0,0,0,0,0,0,0,0,0,0,0,0,8,128
134,Tee Higgins,CIN,WR,16,0,0,0,28,0,67,908,6,0,0,0,0,8,127.6
135,Tyrell Adams,HOU,0,16,0,0,0,0,0,0,0,0,2,0,2,1,8,127.5
136,Washington Football Team,WAS,0,16,0,0,0,0,0,0,0,0,47,16,14,7,7.9,127
137,Malcolm Jenkins,NO,0,16,0,0,0,0,0,0,0,0,2.5,3,1,1,7.9,126.5
138,Corey Davis,TEN,WR,14,0,0,0,0,0,65,984,5,0,0,0,0,9,126.4
139,Ka'imi Fairbairn,HOU,0,16,0,0,0,0,0,0,0,0,0,0,0,0,7.9,126
140,Chris Godwin,TB,WR,12,0,0,0,0,0,65,840,7,0,0,0,0,10.5,126
141,DeForest Buckner,IND,0,15,0,0,0,0,0,0,0,0,9.5,0,2,1,8.4,125.8
142,Leonard Williams,NYG,0,16,0,0,0,0,0,0,0,0,11.5,0,0,1,7.9,125.65
143,Cole Beasley,BUF,WR,15,20,1,0,0,0,82,967,4,0,0,0,0,8.4,125.5
144,Jason Pierre-Paul,TB,0,16,0,0,0,0,0,0,0,0,9.5,2,4,2,7.8,125.2
145,Jason Myers,SEA,0,16,0,0,0,0,0,0,0,0,0,0,0,0,7.8,125
146,Marquise Brown,BAL,WR,16,0,0,0,1,0,58,769,8,0,0,0,0,7.8,125
147,Robert Tonyan,GB,TE,16,0,0,0,0,0,52,586,11,0,0,0,0,7.8,124.6
148,Brandon Aiyuk,SF,WR,12,0,0,0,77,2,60,748,5,0,0,0,0,10.4,124.5
149,Myles Jack,JAX,0,14,0,0,0,0,0,0,0,0,1,1,1,2,8.9,124.1
150,Graham Gano,NYG,0,16,0,0,0,0,0,0,0,0,0,0,0,0,7.8,124
